#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-09-20 13:51:35.244
#Trace: Trace
#Start: 10.0646 Hz
#Stop: 1e+06 Hz
#Steps: 200
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
58821.05522686863,0.1258510155577267,132.0700261578071
62322.4311654093,0.3559099891408938,131.827707674717
66032.229639311,0.430786286396622,131.8674342077428
69962.85718646301,0.3742821413152231,132.1029055584999
74127.45885502247,0.3908497842136545,131.8380093458761
78539.96216389861,0.5278169076095237,131.6587644123192
83215.12368002445,0.5385273930226625,132.022366554182
88168.57836818237,0.6128459272151588,131.8492149103255
93416.89187842151,0.6619778747251617,131.8093570197434
98977.61594593126,0.6562622688134273,131.9767288191304
104869.3470886413,0.8133975280092106,131.9578382627875
111111.7887988491,0.8605171798376763,131.6999897268161
117725.8174368596,0.9473024076614801,131.9015273163775
124733.5520470026,0.9762103438225092,131.7100498717784
132158.428329511,1.104592327018872,131.6390079598606
140025.2770156417,1.215728114949624,131.5994634848105
148360.406908145,1.285271233462001,131.4799365264735
157191.6928647935,1.534419451643524,131.3759650574611
166548.6690192074,1.720418066919254,131.211068506639
176462.6275507344,1.984977834034991,131.0575356936726
186966.7233336946,2.332322315173642,130.9572431011619
198096.0848159646,2.613136931326855,130.684452426227
209887.9314977105,2.910781788500788,130.3882782038048
222381.6984031448,3.297666673502023,130.1732901701238
235619.1679615781,3.769887335745084,129.7778994571276
249644.6097388077,4.278322517278013,129.5005510087931
264504.9284861426,4.872472987901482,129.1401286953037
280249.8210021774,5.537053901189105,128.8160784994352
296931.9423319075,6.321074527081858,128.5341803991458
314607.0818589897,7.080820614397567,128.2364361251978
333334.3498800572,7.936756882750865,127.9369058110029
353176.3752850354,8.905155939771374,127.7152657594835
374199.5150045548,9.988821861418383,127.5407994776917
396474.0759249117,11.13206371567721,127.3410799206507
420074.5500127099,12.24323042980473,127.1608360153563
445079.8634355125,13.56633410278135,127.1526276856392
471573.6405116207,14.98519432388783,127.1322153002934
499644.4833716989,16.4473778887475,127.1889804682123
529386.2682675122,18.10485357693492,127.5210976197316
560898.4595186998,19.76357915131534,127.6980722434889
594286.4421475162,21.39052160825754,128.1533196379144
629661.8743139524,23.25712384016131,128.8104354592867
667143.0607298708,25.16027420336689,129.6688957357222
706855.3483009542,27.10111515935802,130.907335768885
748931.5453195903,29.07937897267857,132.2290048903893
793512.3656105925,31.04561751486971,133.7165913397652
840746.8991150908,32.94505127947078,135.3195847665685
890793.1104863478,34.84291670249633,137.2446993169662
943818.3673649434,36.5891416577189,139.223495077939
1000000.0001,38.23467557240316,141.2632924308041
