#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-09-20 12:38:42.445
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 200
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1,-50.57987295092003,170.214704934117
1.084365968689611,-49.1760778270611,169.5834230523221
1.175849554052158,-47.80803255994932,168.5983226297016
1.275051240713013,-46.42445738831708,167.8374818317171
1.382622173764656,-45.07114862579255,166.9835559346585
1.499268432786047,-43.69805126604298,166.0743412347481
1.625755666443793,-42.3099921689528,165.2187556673673
1.762914118095948,-40.96208049158161,164.0146681430818
1.9116440753857,-39.5893197518297,162.9161421859097
2.07292177959537,-38.24559119721388,161.6558629014113
2.247805833548725,-36.89261579817269,160.3947283123134
2.437444150122221,-35.56102677052451,158.9048842089117
2.643081486974109,-34.2253596633626,157.3295842435742
2.86606761694825,-32.89770413459159,155.6993343160495
3.107866187782014,-31.5909257602847,153.8900183078026
3.370064329271925,-30.28603711400818,151.9764126989565
3.654383070957254,-28.99908830261431,149.9829542494565
3.962688638701478,-27.71832846695358,147.806698197716
4.297004704320835,-26.45807166186405,145.4962251932092
4.659525668664678,-25.21615049908314,143.053550576822
5.052631065335679,-24.00026656183906,140.5015379619464
5.478901179593946,-22.80126115875262,137.7966407154678
5.94113398496504,-21.63016750755883,134.9766354970571
6.44236350872137,-20.48589767487385,132.0247993759704
6.985879746785249,-19.37098592942441,128.9594107933178
7.57525025877192,-18.28852468109622,125.7832918495331
8.214343584919423,-17.23725532824502,122.4910934236246
8.907354638610439,-16.22225984896997,119.1230438149229
9.658832241158688,-15.24073441594669,115.6617842492057
10.47370897959449,-14.29489628435565,112.13739929985
11.35733358343105,-13.38529149854229,108.5492080266517
12.31550603292826,-12.51310547980145,104.9207060719618
13.354515629299,-11.67816695335238,101.2509486654936
14.48118227674533,-10.88040793175503,97.55471836015195
15.70290124729378,-10.12152475695465,93.84131447240065
17.02769172225898,-9.399299400958526,90.11482649365391
18.46424942895543,-8.714994339438208,86.38728029354866
20.02200371815584,-8.068317793822706,82.67420275128819
21.71117945694501,-7.458805679342698,78.9714538061742
23.54286414322415,-6.886596366964749,75.29940190590945
25.52908068239516,-6.351757339017055,71.66279224783354
27.68286630392067,-5.853312975568947,68.07596135764948
30.01835813575592,-5.391095466497456,64.53866697564534
32.55088599835057,-4.964697640467334,61.06886757165073
35.29707302730657,-4.572866146733765,57.68033038881117
38.27494478516315,-4.214868868427405,54.37864987932757
41.50404757850472,-3.890408177710474,51.16673967405503
45.00557675700497,-3.602947771961452,48.07509677931587
48.80251583654424,-3.329695658255021,45.03269838489375
52.91978735958448,-3.100760840495798,42.23376186053292
57.38441648302393,-2.876099525769409,39.47656342147029
62.22570836730231,-2.688969981511229,36.89395150505126
67.475440531107,-2.523054015809059,34.42269159807043
73.16807143427192,-2.374952389630731,32.08583728509592
79.34096665797492,-2.244434981880591,29.88055738269924
86.03464416684491,-2.129817535042846,27.80102520685742
93.29304026284677,-2.028721690882895,25.85513831150416
101.1637979766207,-1.940550785454451,24.02474072756224
109.6985797892382,-1.863122191619002,22.3208117790474
118.9534067370321,-1.795914273101317,20.72809612678512
128.9890261253308,-1.736473588091247,19.24286189569025
139.8713102647239,-1.684788220216469,17.85837441161994
151.6716888470924,-1.638860881309045,16.5764152266337
164.4676177994663,-1.598556549341771,15.38288977890323
178.3430876931913,-1.563310459487171,14.27349380224754
193.3891750455232,-1.532300903286296,13.24439902539123
209.7046401323231,-1.505047871350642,12.29295782756519
227.3965752357927,-1.480253383474706,11.41052512688441
246.5811075822599,-1.458763643047434,10.59400644415116
267.3841615839949,-1.439637782279428,9.840460021454785
289.9422853882875,-1.422060425044358,9.142661782686623
314.40354715915,-1.406705539117114,8.496418754227861
340.9285069746814,-1.392728290084609,7.902740894108646
369.6912707195024,-1.380288223185616,7.354043670824804
400.8806328898465,-1.368302952350883,6.845697649087782
434.7013158125018,-1.35788053502163,6.377840159259883
471.3753134116719,-1.347618515471986,5.945492926695607
511.1433483440165,-1.338290228672279,5.550197199707512
554.2664520663095,-1.3294708072487,5.183993812657942
601.0276782070388,-1.321964743833687,4.849378195720693
651.733960488242,-1.314341069484776,4.542510499692696
706.7181273927491,-1.30650514308292,4.260373786682052
766.3410868007462,-1.300255965260507,4.003230438594215
830.9941949353387,-1.293309459852674,3.766719132812739
901.1018251665037,-1.286781760661398,3.551855667462149
977.1241535346502,-1.280173643410273,3.356822952209853
1059.560179277616,-1.273239853579394,3.179995755786251
1148.951000187309,-1.266154176641412,3.019115724235505
1245.883364295008,-1.259754794439467,2.877023854895647
1350.993521198028,-1.252691237683176,2.743836851387556
1464.971398307285,-1.244808842874142,2.629770012903306
1588.565129428053,-1.236187883651443,2.523364065045918
1722.585965398787,-1.228017045139181,2.432055134247491
1867.913599020783,-1.219088780212946,2.349069395988437
2025.501939230669,-1.209470234171136,2.271037880792292
2196.385372416545,-1.200159986443911,2.201609219116278
2381.685551976158,-1.187863022791692,2.145783019849546
2582.618760682675,-1.176034552048154,2.087177470103256
2800.503894183631,-1.164277235209725,2.029241984687459
3036.77111803546,-1.15102764637887,1.971282419028469
3292.971255097148,-1.137245874347233,1.91654036624837
3570.785964900463,-1.122627095822421,1.86082180126968
3872.038781812557,-1.107602848707101,1.803974711066807
4198.70708444391,-1.09421716359593,1.742839795519046
