Frequency (Hz),Trace th (*),Trace |Z| (Ohm),corregida
143.8563319,-59.36637826,242.3456595,142.3456595
152.4195087,-58.26382881,233.1621036,133.1621036
161.4924163,-57.06750544,224.6721023,124.6721023
171.1053969,-55.79079859,216.784298,116.784298
181.2905987,-54.45546507,209.515157,109.515157
192.0820838,-53.05491125,202.807296,102.807296
203.5159417,-51.61602069,196.5795443,96.57954428
215.6304102,-50.13404251,190.8486783,90.84867827
228.4660033,-48.62851859,185.5548214,85.55482142
242.0656466,-47.09611987,180.6673968,80.66739677
256.4748208,-45.57296559,176.1583762,76.15837621
271.7417139,-44.00703691,172.0142986,72.0142986
287.9173826,-42.46424019,168.2141014,68.21410144
305.0559224,-40.94234723,164.7247853,64.72478535
323.2146491,-39.39976827,161.4755992,61.47559922
342.4542902,-37.85424048,158.5112877,58.51128766
362.8391882,-36.38442433,155.9237012,55.92370119
384.4375156,-34.91353938,153.3353085,53.33530855
407.3215026,-33.4809891,151.1448415,51.14484155
431.5676795,-32.05532133,149.0759588,49.07595884
457.2571317,-30.69739308,147.1700933,47.17009326
484.4757716,-29.34692589,145.4098013,45.40980126
513.3146253,-28.0391798,143.7568762,43.75687617
543.8701377,-26.79013836,142.4094432,42.40944321
576.2444942,-25.51973932,141.0232466,41.02324665
610.5459633,-24.37516991,139.8966063,39.89660627
646.889258,-23.23291243,138.8177137,38.81771375
685.3959198,-22.11739623,137.7412543,37.74125431
726.1947252,-21.0501034,136.9107393,36.91073929
769.4221159,-19.99677714,136.0979715,36.09797152
815.2226557,-19.00774011,135.3453302,35.34533018
863.7495137,-18.05047404,134.6419247,34.64192469
915.1649763,-17.13151217,134.0320261,34.03202609
969.6409903,-16.26110865,133.485112,33.48511198
1027.359738,-15.41228549,132.9772289,32.97722887
1088.514245,-14.59471284,132.5637045,32.56370449
1153.30903,-13.81858839,132.1615439,32.16154393
1221.960781,-13.0851908,131.7834093,31.78340927
1294.69909,-12.35935641,131.4903999,31.49039993
1371.767212,-11.6929329,131.1846726,31.1846726
1453.422882,-11.04423346,130.9693134,30.96931344
1539.93918,-10.4272058,130.7455239,30.74552394
1631.605437,-9.842667995,130.5370365,30.53703646
1728.728211,-9.27504924,130.3919176,30.39191761
1831.632304,-8.727463588,130.2658941,30.2658941
1940.661856,-8.227650491,130.1492349,30.14923494
2056.181489,-7.738144603,130.0405651,30.04056513
2178.577532,-7.262321258,129.9686448,29.96864479
2308.259309,-6.819059294,129.9243693,29.92436928
2445.660509,-6.398517239,129.8597226,29.85972259
